% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
2151	1	0	11	0	28	4587	0	1	0
2151	1	0	3	0	24	3422	0	1	0
2152	1	0	1	0	26	2481	0	1	0
2152	1	0	3	0	24	2196	0	1	0
2152	1	0	8	0	26	2481	0	1	0
2153	1	0	12	0	26	7708	0	1	0
2155	1	0	4	0	26	7708	0	1	0
2157	1	0	20	0	28	9422	0	1	0
2158	1	0	5	0	26	7708	0	1	0
2164	1	0	3	0	24	3422	0	1	0
2164	1	0	20	0	28	4587	0	1	0
2165	1	0	5	0	26	7708	0	1	0
2166	1	0	11	0	28	9422	0	1	0
2169	1	0	12	0	26	7708	0	1	0
2170	1	0	4	0	26	7708	0	1	0
2171	1	0	15	0	26	7708	0	1	0
2175	1	0	8	0	26	7708	0	1	0
2176	1	0	12	0	26	7708	0	1	0
2177	1	0	15	0	26	7708	0	1	0
2178	1	0	3	0	24	3422	0	1	0
2178	1	0	20	0	28	4587	0	1	0
2180	1	0	5	0	26	3822	0	1	0
2180	1	0	4	0	26	3822	0	1	0
2182	1	0	8	0	26	7708	0	1	0
2184	1	0	3	0	24	6882	0	1	0
2187	1	0	5	0	26	7708	0	1	0
2189	1	0	1	0	26	7708	0	1	0
2190	1	0	11	0	28	9422	0	1	0
2192	1	0	12	0	26	3822	0	1	0
2192	1	0	3	0	24	3422	0	1	0
2194	1	0	15	0	26	7708	0	1	0
2196	1	0	20	0	28	9422	0	1	0
2199	1	0	8	0	26	7708	0	1	0
2202	1	0	3	0	24	6882	0	1	0
2203	1	0	20	0	28	9422	0	1	0
2204	1	0	5	0	26	7708	0	1	0
2205	1	0	3	0	24	6882	0	1	0
2206	1	0	8	0	26	7708	0	1	0
2210	1	0	5	0	26	7708	0	1	0
2211	1	0	11	0	28	9422	0	1	0
2212	1	0	8	0	26	7708	0	1	0
2213	1	0	12	0	26	7708	0	1	0
2214	1	0	15	0	26	7708	0	1	0
2215	1	0	3	0	24	3422	0	1	0
2215	1	0	20	0	28	4587	0	1	0
2217	1	0	4	0	26	7708	0	1	0
2218	1	0	11	0	28	9422	0	1	0
2219	1	0	3	0	24	3422	0	1	0
2219	1	0	8	0	26	3822	0	1	0
2220	1	0	12	0	26	2481	0	1	0
2220	1	0	1	0	26	2481	0	1	0
2220	1	0	3	0	24	2196	0	1	0
2221	1	0	15	0	26	7708	0	1	0
2222	1	0	20	0	28	9422	0	1	0
2223	1	0	5	0	26	7708	0	1	0
2229	1	0	5	0	26	7708	0	1	0
2231	1	0	11	0	28	9422	0	1	0
2233	1	0	3	0	24	3422	0	1	0
2233	1	0	8	0	26	3822	0	1	0
2234	1	0	12	0	26	7708	0	1	0
2236	1	0	15	0	26	7708	0	1	0
2237	1	0	20	0	28	9422	0	1	0
2240	1	0	8	0	26	7708	0	1	0
2241	1	0	12	0	26	7708	0	1	0
2242	1	0	15	0	26	7708	0	1	0
2243	1	0	20	0	28	9422	0	1	0
2244	1	0	5	0	26	7708	0	1	0
2246	1	0	3	0	24	6882	0	1	0
2251	1	0	5	0	26	7708	0	1	0
2252	1	0	3	0	24	6882	0	1	0
2253	1	0	11	0	28	9422	0	1	0
2254	1	0	4	0	26	7708	0	1	0
2255	1	0	8	0	26	7708	0	1	0
2256	1	0	12	0	26	7708	0	1	0
2257	1	0	1	0	26	7708	0	1	0
2258	1	0	15	0	26	7708	0	1	0
2259	1	0	20	0	28	9422	0	1	0
2260	1	0	3	0	24	6882	0	1	0
2265	1	0	15	0	26	7708	0	1	0
2266	1	0	20	0	28	9422	0	1	0
2267	1	0	5	0	26	7708	0	1	0
2270	1	0	3	0	24	6882	0	1	0
2274	1	0	3	0	24	6882	0	1	0
2277	1	0	11	0	28	9422	0	1	0
2278	1	0	8	0	26	7708	0	1	0
2279	1	0	12	0	26	7708	0	1	0
2280	1	0	15	0	26	7708	0	1	0
2281	1	0	20	0	28	9422	0	1	0
2284	1	0	11	0	28	9422	0	1	0
2285	1	0	8	0	26	7708	0	1	0
2286	1	0	12	0	26	7708	0	1	0
2287	1	0	15	0	26	3822	0	1	0
2287	1	0	3	0	24	3422	0	1	0
2288	1	0	20	0	28	9422	0	1	0
2289	1	0	1	0	26	3822	0	1	0
2289	1	0	5	0	26	3822	0	1	0
2291	1	0	4	0	26	7708	0	1	0
2297	1	0	3	0	24	6882	0	1	0
2299	1	0	11	0	28	9422	0	1	0
2300	1	0	8	0	26	7708	0	1	0
2301	1	0	12	0	26	3822	0	1	0
2301	1	0	3	0	24	3422	0	1	0
2302	1	0	15	0	26	7708	0	1	0
2303	1	0	20	0	28	9422	0	1	0
2311	1	0	3	0	24	6882	0	1	0
2312	1	0	5	0	26	7708	0	1	0
